===> epoch: 76, train_loss: 0.43386994139611545, val_loss_q: 1.3579575543410334, val_loss_k: 17.287757337950843, test_loss_q: 1.3412894334716383, test_loss_k: 13.51496083048013, test_mape_q: 8.524623895385643, test_mape_k: 27.88664350258682
===> epoch: 77, train_loss: 0.4325428445487985, val_loss_q: 1.3573419158891586, val_loss_k: 17.257565472048405, test_loss_q: 1.3400996660711735, test_loss_k: 13.430891708596253, test_mape_q: 8.50727341798849, test_mape_k: 27.75372693363002
===> epoch: 78, train_loss: 0.43101426645463137, val_loss_q: 1.3568111541129593, val_loss_k: 17.220986771444494, test_loss_q: 1.3392804943333327, test_loss_k: 13.382675379440885, test_mape_q: 8.482941451381649, test_mape_k: 27.637742458693072
===> epoch: 79, train_loss: 0.42971406917283045, val_loss_q: 1.3561977668385377, val_loss_k: 17.181066727237763, test_loss_q: 1.33836586214962, test_loss_k: 13.315167660090069, test_mape_q: 8.477346214485767, test_mape_k: 27.544460991267293
===> epoch: 80, train_loss: 0.42822062882952255, val_loss_q: 1.3556517166497861, val_loss_k: 17.137689312668126, test_loss_q: 1.337314851256893, test_loss_k: 13.248027149535519, test_mape_q: 8.46193227717082, test_mape_k: 27.44028652464541
===> epoch: 81, train_loss: 0.42676036806559725, val_loss_q: 1.355256184970589, val_loss_k: 17.093014582860413, test_loss_q: 1.3362200585505486, test_loss_k: 13.184753895129273, test_mape_q: 8.442281609941652, test_mape_k: 27.3407007312095
===> epoch: 82, train_loss: 0.4252300651634121, val_loss_q: 1.354988531858028, val_loss_k: 17.05338290140781, test_loss_q: 1.3351847523558396, test_loss_k: 13.106333014226507, test_mape_q: 8.418775010860918, test_mape_k: 27.223003906465483
===> epoch: 83, train_loss: 0.4237750270345932, val_loss_q: 1.354272065284672, val_loss_k: 17.002855934554773, test_loss_q: 1.3340369178042202, test_loss_k: 13.030086086204104, test_mape_q: 8.38757135218637, test_mape_k: 27.10566588121233
===> epoch: 84, train_loss: 0.42227858967308446, val_loss_q: 1.354095665227605, val_loss_k: 16.967335289419353, test_loss_q: 1.3333196438014938, test_loss_k: 12.950717492135245, test_mape_q: 8.37843728691127, test_mape_k: 26.990715155968775
===> epoch: 85, train_loss: 0.42086712096352125, val_loss_q: 1.353379988163323, val_loss_k: 16.917071074211925, test_loss_q: 1.332344833252747, test_loss_k: 12.88098670057362, test_mape_q: 8.337665479454918, test_mape_k: 26.889953730836837
===> epoch: 86, train_loss: 0.4194162285627072, val_loss_q: 1.3531220957765568, val_loss_k: 16.882165692499324, test_loss_q: 1.3318937467551237, test_loss_k: 12.821250273520965, test_mape_q: 8.33584102219484, test_mape_k: 26.78350979874261
===> epoch: 87, train_loss: 0.41797486262964323, val_loss_q: 1.3525385081817443, val_loss_k: 16.83752533021953, test_loss_q: 1.3310804541681336, test_loss_k: 12.745611191249296, test_mape_q: 8.309162875654154, test_mape_k: 26.66711246815267
===> epoch: 88, train_loss: 0.41650837091925236, val_loss_q: 1.3522634211317184, val_loss_k: 16.799307641715526, test_loss_q: 1.3304997956428906, test_loss_k: 12.683005843938318, test_mape_q: 8.292545172608977, test_mape_k: 26.56703678715043
===> epoch: 89, train_loss: 0.41515284992209095, val_loss_q: 1.3517685313291725, val_loss_k: 16.755895658814026, test_loss_q: 1.3298384451544576, test_loss_k: 12.615904609230341, test_mape_q: 8.26542816224335, test_mape_k: 26.48068071162336
===> epoch: 90, train_loss: 0.4137295788078856, val_loss_q: 1.3510543321039705, val_loss_k: 16.71955935698373, test_loss_q: 1.3293021044969118, test_loss_k: 12.55817571729418, test_mape_q: 8.232570115401366, test_mape_k: 26.366604806654454
===> epoch: 91, train_loss: 0.4125726500387901, val_loss_q: 1.3502841861063897, val_loss_k: 16.673781078142564, test_loss_q: 1.3286170233840409, test_loss_k: 12.501708508164857, test_mape_q: 8.213910038752381, test_mape_k: 26.283878162957503
===> epoch: 92, train_loss: 0.41118172779432777, val_loss_q: 1.349552271539709, val_loss_k: 16.628996348253906, test_loss_q: 1.3278893820105415, test_loss_k: 12.460089787285254, test_mape_q: 8.162227993777174, test_mape_k: 26.207563801233725
===> epoch: 93, train_loss: 0.4100956995825939, val_loss_q: 1.3486644685746918, val_loss_k: 16.578994751847176, test_loss_q: 1.3270835082832815, test_loss_k: 12.402612871747186, test_mape_q: 8.12787693207225, test_mape_k: 26.151166213882988
===> epoch: 94, train_loss: 0.4087123886679707, val_loss_q: 1.3481430636602654, val_loss_k: 16.547389707511883, test_loss_q: 1.3267257364269434, test_loss_k: 12.3632210037018, test_mape_q: 8.098830666330946, test_mape_k: 26.064780488098606
===> epoch: 95, train_loss: 0.40768792778175433, val_loss_q: 1.3477161940203615, val_loss_k: 16.50129520937985, test_loss_q: 1.3260331775449037, test_loss_k: 12.321954837890923, test_mape_q: 8.082174696018495, test_mape_k: 26.01511273576301
===> epoch: 96, train_loss: 0.4064305617893395, val_loss_q: 1.3469533174396986, val_loss_k: 16.4438474693647, test_loss_q: 1.325528567418217, test_loss_k: 12.266188345073424, test_mape_q: 8.04279853394899, test_mape_k: 25.95408454390235
===> epoch: 97, train_loss: 0.4051910299174384, val_loss_q: 1.3463774910095034, val_loss_k: 16.405543849324637, test_loss_q: 1.3252742690532942, test_loss_k: 12.208811032864835, test_mape_q: 8.023694610087476, test_mape_k: 25.868324682539367
===> epoch: 98, train_loss: 0.4039223833563355, val_loss_q: 1.345806746540589, val_loss_k: 16.371130070028926, test_loss_q: 1.3251708528388606, test_loss_k: 12.177168118629801, test_mape_q: 7.998535596463142, test_mape_k: 25.790645121834693
===> epoch: 99, train_loss: 0.40286316323835525, val_loss_q: 1.345156343662927, val_loss_k: 16.331755027105938, test_loss_q: 1.324550414838566, test_loss_k: 12.141615593720177, test_mape_q: 7.976875700820299, test_mape_k: 25.73507523011526
===> epoch: 100, train_loss: 0.4018689135468349, val_loss_q: 1.3446524906096482, val_loss_k: 16.29088757829889, test_loss_q: 1.3241567260455198, test_loss_k: 12.105870294657647, test_mape_q: 7.95867007274895, test_mape_k: 25.662400508738553
===> epoch: 101, train_loss: 0.4008503782401398, val_loss_q: 1.3437676610207756, val_loss_k: 16.23551336661374, test_loss_q: 1.3238163564761858, test_loss_k: 12.071354771090277, test_mape_q: 7.961821714356225, test_mape_k: 25.597960458744474
===> epoch: 102, train_loss: 0.39961465890004955, val_loss_q: 1.3431982129711304, val_loss_k: 16.194087901366185, test_loss_q: 1.3233042762360159, test_loss_k: 12.043346304470838, test_mape_q: 7.927087291454768, test_mape_k: 25.545743122264707
===> epoch: 103, train_loss: 0.3985995193123421, val_loss_q: 1.342852229790548, val_loss_k: 16.1497206601903, test_loss_q: 1.3229421856393309, test_loss_k: 11.996558927643957, test_mape_q: 7.9302036842053365, test_mape_k: 25.46602307851361
===> epoch: 104, train_loss: 0.3975462857025268, val_loss_q: 1.3418015495289513, val_loss_k: 16.09702160060316, test_loss_q: 1.3225621010943398, test_loss_k: 11.972149391609802, test_mape_q: 7.939536393952151, test_mape_k: 25.418261647619566
===> epoch: 105, train_loss: 0.39641565638106085, val_loss_q: 1.341190877329917, val_loss_k: 16.051558822842292, test_loss_q: 1.3219979652162928, test_loss_k: 11.952060871269678, test_mape_q: 7.894101957322534, test_mape_k: 25.38016630374813
===> epoch: 106, train_loss: 0.3954431437909094, val_loss_q: 1.340522804109834, val_loss_k: 16.013702848201582, test_loss_q: 1.321604521549208, test_loss_k: 11.92346061533203, test_mape_q: 7.894480076482833, test_mape_k: 25.31165363725102
===> epoch: 107, train_loss: 0.3944748416179841, val_loss_q: 1.3401315450949027, val_loss_k: 15.967711345283776, test_loss_q: 1.3210430740773111, test_loss_k: 11.92107091599984, test_mape_q: 7.855409812657074, test_mape_k: 25.28702285051751
===> epoch: 108, train_loss: 0.3935305206981521, val_loss_q: 1.3396617980286096, val_loss_k: 15.923600950428105, test_loss_q: 1.3206394668293207, test_loss_k: 11.887215475849679, test_mape_q: 7.855886533402537, test_mape_k: 25.215582302894564
===> epoch: 109, train_loss: 0.3925437940048305, val_loss_q: 1.3390977258463221, val_loss_k: 15.880672760644664, test_loss_q: 1.3205936649670729, test_loss_k: 11.880557110159062, test_mape_q: 7.860459322948649, test_mape_k: 25.155946823489295
