Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
2890,5,8,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0
2900,0,5,0,0,1,16,0,0,0,0,0,8,0,0,0,0,0
2910,0,0,14,1,0,2,0,0,0,0,0,4,1,0,2,1,0
2920,0,0,12,0,0,0,0,0,0,0,0,6,0,0,8,4,1
2930,5,0,11,0,0,0,0,0,0,0,0,1,3,0,2,0,2
2940,18,0,15,0,0,0,0,0,0,0,0,0,3,0,1,1,1
2950,19,14,12,5,4,0,0,0,0,0,0,0,0,0,2,0,1
2960,6,22,4,18,5,0,0,0,0,0,0,0,0,0,0,0,0
2970,7,15,6,20,11,5,0,0,0,0,0,0,0,0,0,0,0
2980,6,6,0,15,16,8,0,0,0,0,0,0,0,0,0,0,0
2990,8,2,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0
3000,0,5,0,0,3,13,0,0,0,0,0,6,0,0,0,0,0
3010,0,2,8,0,0,7,0,0,0,0,0,7,0,0,2,1,0
3020,0,0,10,0,0,0,0,0,0,0,0,4,0,1,5,3,0
3030,0,0,14,0,0,0,0,0,0,0,0,1,2,0,0,3,4
3040,20,0,16,0,0,0,0,0,0,0,0,0,3,0,1,0,2
3050,23,12,13,4,4,0,0,0,0,0,0,0,0,0,0,0,1
3060,7,22,6,16,7,4,0,0,0,0,0,0,0,0,0,0,0
3070,3,18,11,20,13,8,0,0,0,0,0,0,0,0,0,0,0
3080,7,4,0,18,13,9,0,0,0,0,0,0,0,0,0,0,0
3090,8,7,0,2,15,10,0,0,0,0,0,0,0,0,0,0,0
3100,2,6,0,0,6,14,0,0,0,0,0,5,0,0,0,0,0
3110,0,2,5,0,0,7,0,0,0,0,0,8,2,2,0,0,0
3120,0,0,19,0,0,0,0,0,0,0,0,5,1,1,8,0,0
3130,0,0,24,0,0,0,0,0,0,0,0,3,0,0,3,0,4
3140,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3150,20,12,8,4,4,0,0,0,0,0,0,0,0,0,1,0,0
3160,9,21,2,16,5,1,0,0,0,0,0,0,0,0,0,0,0
3170,6,17,11,19,13,7,0,0,0,0,0,0,0,0,0,0,0
3180,6,7,4,19,16,7,0,0,0,0,0,0,0,0,0,0,0
3190,6,8,0,10,14,12,0,0,0,0,0,0,0,0,0,0,0
3200,1,2,0,0,13,17,0,0,0,0,0,4,0,0,0,0,0
3210,0,3,0,0,2,11,0,0,0,0,0,8,2,1,0,0,0
3220,0,0,20,0,0,5,0,0,0,0,0,3,4,1,3,2,0
3230,0,0,22,0,0,0,0,0,0,0,0,6,1,0,1,2,1
3240,15,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3250,14,8,4,4,3,0,0,0,0,0,0,0,0,0,0,0,1
3260,7,21,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0
3270,4,9,10,20,12,5,0,0,0,0,0,0,0,0,0,0,0
3280,6,5,10,18,17,5,0,0,0,0,0,0,0,0,0,0,0
3290,6,4,0,15,18,8,0,0,0,0,0,0,0,0,0,0,0
3300,1,7,0,2,14,15,0,0,0,0,0,4,0,0,0,0,0
3310,0,3,0,0,7,15,0,0,0,0,0,8,1,1,0,0,0
3320,0,0,14,0,0,11,0,0,0,0,0,4,2,0,5,3,0
3330,0,0,20,0,0,2,0,0,0,0,0,0,0,0,2,3,3
3340,14,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3350,19,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
3360,4,19,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0
3370,5,13,12,17,11,6,0,0,0,0,0,0,0,0,0,0,0
3380,6,3,13,17,13,5,0,0,0,0,0,0,0,0,0,0,0
3390,8,5,0,17,17,9,0,0,0,0,0,0,0,0,0,0,0
3400,4,8,0,5,19,12,0,0,0,0,0,2,0,0,0,0,0
3410,0,5,0,0,8,16,0,0,0,0,0,8,1,0,0,0,0
3420,0,0,9,0,1,11,0,0,0,0,0,2,4,0,5,3,0
3430,0,0,20,0,0,3,0,0,0,0,0,1,3,0,0,1,2
3440,10,0,13,0,0,0,0,0,0,0,0,1,0,2,2,1,3
3450,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3460,14,14,2,16,6,0,0,0,0,0,0,0,0,0,0,0,1
3470,8,22,12,18,8,7,0,0,0,0,0,0,0,0,0,0,0
3480,7,11,18,16,13,9,0,0,0,0,0,0,0,0,0,0,0
3490,4,10,5,21,19,8,0,0,0,0,0,0,0,0,0,0,0
3500,2,6,0,4,16,10,0,0,0,0,0,2,0,0,0,0,0
3510,0,3,0,0,11,16,0,0,0,0,0,7,1,1,0,0,0
3520,0,0,4,0,0,12,0,0,0,0,0,4,2,0,4,2,0
3530,0,0,13,0,0,2,0,0,0,0,0,0,1,0,2,1,2
3540,10,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,3
3550,23,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3560,10,19,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0
3570,5,17,13,18,10,6,0,0,0,0,0,0,0,0,0,0,0
3580,4,8,18,21,11,4,0,0,0,0,0,0,0,0,0,0,0
3590,6,4,7,19,15,13,0,0,0,0,0,0,0,0,0,0,0
3600,2,8,0,5,16,13,0,0,0,0,0,2,0,0,0,0,0
3610,0,2,0,0,8,14,0,0,0,0,0,8,0,0,0,0,0
3620,0,0,0,0,2,10,0,0,0,0,0,3,3,1,4,2,0
3630,0,0,15,0,0,2,0,0,0,0,0,3,0,0,3,1,2
3640,7,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,2
3650,22,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3660,12,15,1,12,5,0,0,0,0,0,0,0,0,0,0,0,1
3670,8,17,14,9,8,2,0,0,0,0,0,0,0,0,0,0,0
3680,11,13,19,15,10,6,0,0,0,0,0,0,0,0,0,0,0
3690,4,7,12,14,14,8,0,0,0,0,0,0,0,0,0,0,0
