Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
1700,0,4,10,9,7,7,0,0,0,0,0,7,1,1,0,0,0
1710,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,3,1
1720,17,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0
1730,17,8,5,4,4,0,0,0,0,0,0,0,0,0,0,0,1
1740,16,15,11,11,12,4,0,0,0,0,0,0,0,0,0,0,0
1750,15,12,12,8,10,13,0,0,0,0,0,0,0,0,0,0,0
1760,9,14,17,11,9,13,0,0,0,0,0,0,0,0,0,0,0
1770,7,13,14,13,9,11,0,0,0,0,0,0,0,0,0,0,0
1780,0,9,14,9,11,6,0,0,0,0,0,4,0,0,0,0,0
1790,0,3,6,11,10,7,0,0,0,0,0,6,1,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,2,2
1810,16,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,1
1820,16,10,5,4,4,0,0,0,0,0,0,0,0,0,1,0,1
1830,8,13,14,8,14,4,0,0,0,0,0,0,0,0,0,0,0
1840,4,14,11,12,12,12,0,0,0,0,0,0,0,0,0,0,0
1850,6,7,16,11,11,14,0,0,0,0,0,0,0,0,0,0,0
1860,3,5,10,13,10,13,0,0,0,0,0,0,0,0,0,0,0
1870,1,5,8,8,11,9,0,0,0,0,0,4,0,0,0,0,0
1880,0,1,7,7,8,6,0,0,0,0,0,7,1,1,0,0,0
1890,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,3,2
1900,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
1910,15,9,5,4,4,0,0,0,0,0,0,0,0,0,0,1,0
1920,15,14,9,7,10,4,0,0,0,0,0,0,0,0,0,0,1
1930,10,11,12,8,8,12,0,0,0,0,0,0,0,0,0,0,0
1940,11,11,9,9,6,14,0,0,0,0,0,0,0,0,0,0,0
1950,12,10,11,6,7,10,0,0,0,0,0,0,0,0,0,0,0
1960,1,12,11,7,8,5,0,0,0,0,0,4,0,0,0,0,0
1970,0,5,10,6,7,4,0,0,0,0,0,5,1,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,2,1
1990,17,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1
2000,12,10,5,4,4,0,0,0,0,0,0,0,0,0,0,0,1
2010,7,16,16,10,6,4,0,0,0,0,0,0,0,0,0,0,0
2020,5,13,17,15,7,12,0,0,0,0,0,0,0,0,0,0,0
2030,4,6,16,12,13,7,0,0,0,0,0,0,0,0,0,0,0
2040,11,2,10,12,11,10,0,0,0,0,0,0,0,0,0,0,0
2050,0,9,9,7,13,11,0,0,0,0,0,2,0,0,0,0,0
2060,0,6,7,2,7,9,0,0,0,0,0,2,1,1,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,2
2080,17,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,3
2090,17,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
